City,DAY,MONTH,YEAR,Wind,Quality_wind
Warszawa,1,1,2000,2.3,0
Warszawa,2,1,2000,0.0,0
Warszawa,3,1,2000,4.5,0
Warszawa,4,1,2000,0.0,0
Warszawa,5,1,2000,5.7,0
Warszawa,6,1,2000,0.0,0
Warszawa,7,1,2000,3.2,0
Warszawa,8,1,2000,0.0,0
Warszawa,9,1,2000,1.7,0
Warszawa,10,1,2000,0.0,0
Warszawa,11,1,2000,2.5,0
Warszawa,12,1,2000,0.0,0
Warszawa,13,1,2000,3.7,0
Warszawa,14,1,2000,0.0,0
Warszawa,15,1,2000,2.5,0
Warszawa,16,1,2000,0.0,0
Warszawa,17,1,2000,7.7,0
Warszawa,18,1,2000,0.0,0
Warszawa,19,1,2000,8.7,0
Warszawa,20,1,2000,0.0,0
Warszawa,21,1,2000,6.0,0
Warszawa,22,1,2000,0.0,0
Warszawa,23,1,2000,0.7,0
Warszawa,24,1,2000,0.0,0
Warszawa,25,1,2000,5.7,0
Warszawa,26,1,2000,0.0,0
Warszawa,27,1,2000,6.7,0
Warszawa,28,1,2000,0.0,0
Warszawa,29,1,2000,6.2,0
Warszawa,30,1,2000,0.0,0
Warszawa,31,1,2000,9.2,0
Warszawa,1,2,2000,0.0,0
Warszawa,2,2,2000,5.0,0
Warszawa,3,2,2000,0.0,0
Warszawa,4,2,2000,5.5,0
Warszawa,5,2,2000,0.0,0
Warszawa,6,2,2000,5.0,0
Warszawa,7,2,2000,0.0,0
Warszawa,8,2,2000,5.0,0
Warszawa,9,2,2000,0.0,0
Warszawa,10,2,2000,3.0,0
Warszawa,11,2,2000,0.0,0
Warszawa,12,2,2000,2.5,0
Warszawa,13,2,2000,0.0,0
Warszawa,14,2,2000,4.5,0
Warszawa,15,2,2000,0.0,0
Warszawa,16,2,2000,4.5,0
Warszawa,17,2,2000,2.2,0
Warszawa,18,2,2000,4.5,0
Warszawa,19,2,2000,0.0,0
Warszawa,20,2,2000,3.0,0
Warszawa,21,2,2000,0.0,0
Warszawa,22,2,2000,1.7,0
Warszawa,23,2,2000,0.0,0
Warszawa,24,2,2000,3.0,0
Warszawa,25,2,2000,0.0,0
Warszawa,26,2,2000,6.0,0
Warszawa,27,2,2000,0.0,0
Warszawa,28,2,2000,5.7,0
Warszawa,29,2,2000,0.0,0
Warszawa,1,3,2000,5.7,0
Warszawa,2,3,2000,0.0,0
Warszawa,3,3,2000,6.7,0
Warszawa,4,3,2000,0.0,0
Warszawa,5,3,2000,5.2,0
Warszawa,6,3,2000,0.0,0
Warszawa,7,3,2000,9.0,0
