"","year","month","day","loc","type","value"
"1","2019","01","01","Warszawa","PM10",NA
"2","2019","01","02","Warszawa","PM10",NA
"3","2019","01","03","Warszawa","PM10",NA
"4","2019","01","04","Warszawa","PM10",NA
"5","2019","01","05","Warszawa","PM10",NA
"6","2019","01","06","Warszawa","PM10",NA
"7","2019","01","07","Warszawa","PM10",NA
"8","2019","01","08","Warszawa","PM10",52.78
"9","2019","01","09","Warszawa","PM10",43.53
"10","2019","01","10","Warszawa","PM10",46.63
"11","2019","01","11","Warszawa","PM10",53.7
"12","2019","01","12","Warszawa","PM10",25.76
"13","2019","01","13","Warszawa","PM10",16.69
"14","2019","01","14","Warszawa","PM10",11.25
"15","2019","01","15","Warszawa","PM10",20.14
"16","2019","01","16","Warszawa","PM10",25.23
"17","2019","01","17","Warszawa","PM10",34.66
"18","2019","01","18","Warszawa","PM10",24.13
"19","2019","01","19","Warszawa","PM10",52.43
"20","2019","01","20","Warszawa","PM10",74.56
"21","2019","01","21","Warszawa","PM10",63.86
"22","2019","01","22","Warszawa","PM10",62.22
"23","2019","01","23","Warszawa","PM10",41.72
"24","2019","01","24","Warszawa","PM10",24.67
"25","2019","01","25","Warszawa","PM10",30.66
"26","2019","01","26","Warszawa","PM10",71.29
"27","2019","01","27","Warszawa","PM10",78.55
"28","2019","01","28","Warszawa","PM10",52.25
"29","2019","01","29","Warszawa","PM10",45.17
"30","2019","01","30","Warszawa","PM10",42.09
"31","2019","01","31","Warszawa","PM10",40.45
"32","2019","02","01","Warszawa","PM10",39.91
"33","2019","02","02","Warszawa","PM10",19.6
"34","2019","02","03","Warszawa","PM10",50.44
"35","2019","02","04","Warszawa","PM10",19.23
"36","2019","02","05","Warszawa","PM10",44.8
"37","2019","02","06","Warszawa","PM10",60.23
"38","2019","02","07","Warszawa","PM10",52.07
"39","2019","02","08","Warszawa","PM10",69.67
"40","2019","02","09","Warszawa","PM10",54.24
"41","2019","02","10","Warszawa","PM10",35.93
"42","2019","02","11","Warszawa","PM10",25.95
"43","2019","02","12","Warszawa","PM10",27.57
"44","2019","02","13","Warszawa","PM10",27.76
"45","2019","02","14","Warszawa","PM10",44.65
"46","2019","02","15","Warszawa","PM10",73.12
"47","2019","02","16","Warszawa","PM10",66.77
"48","2019","02","17","Warszawa","PM10",60.06
"49","2019","02","18","Warszawa","PM10",91.64
"50","2019","02","19","Warszawa","PM10",89.08
"51","2019","02","20","Warszawa","PM10",42.64
"52","2019","02","21","Warszawa","PM10",28.85
"53","2019","02","22","Warszawa","PM10",30.84
"54","2019","02","23","Warszawa","PM10",51.34
"55","2019","02","24","Warszawa","PM10",58.95
"56","2019","02","25","Warszawa","PM10",76.01
"57","2019","02","26","Warszawa","PM10",72.2
"58","2019","02","27","Warszawa","PM10",58.96
"59","2019","02","28","Warszawa","PM10",82.19
"60","2019","03","01","Warszawa","PM10",66.76
"61","2019","03","02","Warszawa","PM10",61.86
"62","2019","03","03","Warszawa","PM10",52.97
"63","2019","03","04","Warszawa","PM10",34.29
"64","2019","03","05","Warszawa","PM10",31.03
"65","2019","03","06","Warszawa","PM10",35.74
"66","2019","03","07","Warszawa","PM10",50.8
"67","2019","03","08","Warszawa","PM10",40.65
"68","2019","03","09","Warszawa","PM10",25.22
"69","2019","03","10","Warszawa","PM10",19.05
"70","2019","03","11","Warszawa","PM10",30.48
"71","2019","03","12","Warszawa","PM10",70.57
"72","2019","03","13","Warszawa","PM10",61.87
"73","2019","03","14","Warszawa","PM10",41.55
"74","2019","03","15","Warszawa","PM10",19.78
"75","2019","03","16","Warszawa","PM10",21.23
"76","2019","03","17","Warszawa","PM10",34.84
"77","2019","03","18","Warszawa","PM10",34.84
"78","2019","03","19","Warszawa","PM10",48.62
"79","2019","03","20","Warszawa","PM10",69.31
"80","2019","03","21","Warszawa","PM10",62.97
"81","2019","03","22","Warszawa","PM10",54.61
"82","2019","03","23","Warszawa","PM10",59.69
"83","2019","03","24","Warszawa","PM10",56.79
"84","2019","03","25","Warszawa","PM10",65.32
"85","2019","03","26","Warszawa","PM10",33.02
"86","2019","03","27","Warszawa","PM10",41.72
"87","2019","03","28","Warszawa","PM10",58.06
"88","2019","03","29","Warszawa","PM10",50.99
"89","2019","03","30","Warszawa","PM10",65.87
"90","2019","03","31","Warszawa","PM10",66.04
"91","2019","04","01","Warszawa","PM10",26.49
"92","2019","04","02","Warszawa","PM10",27.94
"93","2019","04","03","Warszawa","PM10",34.66
"94","2019","04","04","Warszawa","PM10",43.37
"95","2019","04","05","Warszawa","PM10",45.91
"96","2019","04","06","Warszawa","PM10",44.27
"97","2019","04","07","Warszawa","PM10",67.68
"98","2019","04","08","Warszawa","PM10",97.62
"99","2019","04","09","Warszawa","PM10",39.19
"100","2019","04","10","Warszawa","PM10",34.05
"101","2019","04","11","Warszawa","PM10",37.92
"102","2019","04","12","Warszawa","PM10",32.29
"103","2019","04","13","Warszawa","PM10",28.12
"104","2019","04","14","Warszawa","PM10",20.14
"105","2019","04","15","Warszawa","PM10",26.31
"106","2019","04","16","Warszawa","PM10",37.74
"107","2019","04","17","Warszawa","PM10",34.11
"108","2019","04","18","Warszawa","PM10",49.71
