time,cloudcover (%),direct_radiation (W/m²),windspeed_10m (m/s),winddirection_10m (°)
2021-01-01T00:00,100,0.0,0.72,56
2021-01-01T01:00,100,0.0,0.85,69
2021-01-01T02:00,100,0.0,0.10,360
2021-01-01T03:00,96,0.0,0.78,230
2021-01-01T04:00,93,0.0,0.76,203
2021-01-01T05:00,99,0.0,0.85,159
2021-01-01T06:00,92,0.0,0.92,131
2021-01-01T07:00,91,0.0,1.20,138
2021-01-01T08:00,78,10.0,1.71,159
2021-01-01T09:00,70,29.0,1.58,162
2021-01-01T10:00,80,49.0,1.55,165
2021-01-01T11:00,48,95.0,1.10,175
2021-01-01T12:00,33,118.0,0.81,210
2021-01-01T13:00,14,132.0,0.50,127
2021-01-01T14:00,30,61.0,0.92,77
2021-01-01T15:00,38,7.0,2.15,68
2021-01-01T16:00,49,0.0,2.51,95
2021-01-01T17:00,40,0.0,1.92,129
2021-01-01T18:00,33,0.0,1.21,156
2021-01-01T19:00,32,0.0,1.17,211
2021-01-01T20:00,33,0.0,1.49,228
2021-01-01T21:00,13,0.0,1.39,240
2021-01-01T22:00,77,0.0,1.22,235
2021-01-01T23:00,43,0.0,1.14,232
2021-01-02T00:00,54,0.0,0.76,203
2021-01-02T01:00,100,0.0,0.85,135
2021-01-02T02:00,62,0.0,1.17,110
2021-01-02T03:00,100,0.0,1.30,122
2021-01-02T04:00,100,0.0,1.06,131
2021-01-02T05:00,100,0.0,0.99,135
2021-01-02T06:00,97,0.0,0.99,135
2021-01-02T07:00,73,0.0,0.78,140
2021-01-02T08:00,74,1.0,0.81,120
2021-01-02T09:00,58,5.0,1.17,121
2021-01-02T10:00,72,16.0,0.85,111
2021-01-02T11:00,59,36.0,0.70,90
2021-01-02T12:00,65,83.0,1.00,96
2021-01-02T13:00,62,23.0,1.41,98
2021-01-02T14:00,71,16.0,1.68,107
2021-01-02T15:00,73,1.0,1.97,120
2021-01-02T16:00,82,0.0,1.98,135
2021-01-02T17:00,59,0.0,1.77,133
2021-01-02T18:00,55,0.0,1.70,140
2021-01-02T19:00,53,0.0,1.35,132
2021-01-02T20:00,55,0.0,1.06,139
