;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169
;DsGlogWiStwo;DsJelGorSoko;DsLegAlRzecz;DsNowRudSreb;DsOlawZolnAK;DsOlesBrzozo;DsOsieczow21;DsPolKasztan;DsSwidnFolwa;DsSzczaKolej;DsWalbrzWyso;DsWrocOrzech;DsWrocWybCon;DsZgorBohGet;DsZlotoStasz;KpBrodKochan;KpBydWarszaw;KpCiechTezni;KpGrudSienki;KpInowSolank;KpKoniczynka;KpNaklSkargi;KpToruDziewu;KpWieniZdroj;KpWloclGniaz;KpWloclOkrze;KpZielBoryTu;LbBiaPodOrze;LbChelJagiel;LbFlorianRPN;LbKrasKoszar;LbLubSliwins;LbPulaKarpin;LbRadzPodSit;LbZamoHrubie;LdBelchatEdward;LdBrzeReform;LdKutnKosciu;LdLodzLegion;LdLodzRudzka;LdLowiczSien;LdOpocCurieSk;LdPabiKilins;LdParzniUjWo;LdPioTrKraPr;LdRadomsRoln;LdRawaNiepod;LdSieraPolna;LdSkierKonop;LdToMaSwAnto;LdUniejTermy;LdWieluPOW12;LdZduWoKrole;LuGorzKosGdy;LuGorzPilsud;LuSulecDudka;LuWsKaziWiel;LuZarySzyman;LuZielKrotka;MpBochKonfed;MpGorlKrasin;MpKrakBujaka;MpKrakBulwar;MpKrakOsPias;MpKrakTelime;MpKrakWadow;MpKrakZloRog;MpMuszynZloc;MpNiepo3Maja;MpNoSaczNadb;MpNoTargPSlo;MpOswiecBema;MpSuchaNiesz;MpSzymbaGorl;MpTarBitStud;MpTrzebOsZWM;MpTuchChopin;MpZakopaSien;MzGutyDuCzer;MzKonJezMos;MzLegZegrzyn;MzOstroHalle;MzOtwoBrzozo;MzPiasPulask;MzPlocKroJad;MzRad25Czerw;MzSiedKonars;MzWarAKrzywo;MzWarAlNiepo;OpGlubRatusz;OpKKozBSmial;OpKluczMicki;OpNysaRodzie;OpOpoleOsAKr;OpZdziePiast;PdBialWaszyn;PdSuwPulaskp;PkDebiGrottg;PkIwonZdrRab;PkJarosPruch;PkJasloSikor;PkKrosKletow;PkMielPogodn;PkNiskoSzkla;PkPrzemGrunw;PkRymZdrPark;PkRzeszRejta;PkSanoSadowa;PkStWolWoPol;PkTarnDabrow;PmGdaLecz08m;PmGdyJozBema;PmKosTargo12;PmKwiSportow;PmLebMalcz16;PmLinieKos17;PmMalMicki15;PmSlupKniazi;PmWejhPlWejh;SkBuskRokosz;SkKielJagiel;SkKielKusoci;SkKielTargow;SkKonsGranatMOB;SkOzarOsWzgo;SkStaraZlota;SlBielKossak;SlCiesMickie;SlCzestoBacz;SlDabro1000L;SlGodGliniki;SlKatoKossut;SlKatoPlebA4;SlKnurJedNar;SlLublPiasko;SlMyszMiedzi;SlPszczBoged;SlRybniBorki;SlTarnoLitew;SlZabSkloCur;SlZawSkloCur;SlZorySikor2;SlZywieKoper;WmElbBazynsk;WmGlitajn;WmIlawAnders;WmNiTraugutt;WmOlsPuszkin;WmPuszczaBor;WpGniePaczko;WpKaliSawick;WpLeszKiepur;WpNoTomSzpit;WpOstWieWyso;WpPilaKusoci;WpPleszAlMic;WpPoznChwial;WpPoznSzyman;WpTarPodZach;WpWagrowLipo;ZpKolZolkiew;ZpKoszArKraj;ZpKoszSpasow;ZpMyslZaBram;ZpSzczAndr01;ZpSzczec1Maj;ZpSzczecPrze;ZpSzczPils02;ZpWiduBulRyb
;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10;PM10
;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g
;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3
Czas pomiaru;DsGlogWiStwo-PM10-24g;DsJelGorSoko-PM10-24g;DsLegAlRzecz-PM10-24g;DsNowRudSreb-PM10-24g;DsOlawZolnAK-PM10-24g;DsOlesBrzozo-PM10-24g;DsOsieczow21-PM10-24g;DsPolKasztan-PM10-24g;DsSwidnFolwa-PM10-24g;DsSzczaKolej-PM10-24g;DsWalbrzWyso-PM10-24g;DsWrocOrzech-PM10-24g;DsWrocWybCon-PM10-24g;DsZgorBohGet-PM10-24g;DsZlotoStasz-PM10-24g;KpBrodKochan-PM10-24g;KpBydWarszaw-PM10-24g;KpCiechTezni-PM10-24g;KpGrudSienki-PM10-24g;KpInowSolank-PM10-24g;KpKoniczynka-PM10-24g;KpNaklSkargi-PM10-24g;KpToruDziewu-PM10-24g;KpWieniZdroj-PM10-24g;KpWloclGniaz-PM10-24g;KpWloclOkrze-PM10-24g;KpZielBoryTu-PM10-24g;LbBiaPodOrze-PM10-24g;LbChelJagiel-PM10-24g;LbFlorianRPN-PM10-24g;LbKrasKoszar-PM10-24g;LbLubSliwins-PM10-24g;LbPulaKarpin-PM10-24g;LbRadzPodSit-PM10-24g;LbZamoHrubie-PM10-24g;LdBelchatEdward-PM10-24g;LdBrzeReform-PM10-24g;LdKutnKosciu-PM10-24g;LdLodzLegion-PM10-24g;LdLodzRudzka-PM10-24g;LdLowiczSien-PM10-24g;LdOpocCurieSk-PM10-24g;LdPabiKilins-PM10-24g;LdParzniUjWo-PM10-24g;LdPioTrKraPr-PM10-24g;LdRadomsRoln-PM10-24g;LdRawaNiepod-PM10-24g;LdSieraPolna-PM10-24g;LdSkierKonop-PM10-24g;LdToMaSwAnto-PM10-24g;LdUniejTermy-PM10-24g;LdWieluPOW12-PM10-24g;LdZduWoKrole-PM10-24g;LuGorzKosGdy-PM10-24g;LuGorzPilsud-PM10-24g;LuSulecDudka-PM10-24g;LuWsKaziWiel-PM10-24g;LuZarySzyman-PM10-24g;LuZielKrotka-PM10-24g;MpBochKonfed-PM10-24g;MpGorlKrasin-PM10-24g;MpKrakBujaka-PM10-24g;MpKrakBulwar-PM10-24g;MpKrakOsPias-PM10-24g;MpKrakTelime-PM10-24g;MpKrakWadow-PM10-24g;MpKrakZloRog-PM10-24g;MpMuszynZloc-PM10-24g;MpNiepo3Maja-PM10-24g;MpNoSaczNadb-PM10-24g;MpNoTargPSlo-PM10-24g;MpOswiecBema-PM10-24g;MpSuchaNiesz-PM10-24g;MpSzymbaGorl-PM10-24g;MpTarBitStud-PM10-24g;MpTrzebOsZWM-PM10-24g;MpTuchChopin-PM10-24g;MpZakopaSien-PM10-24g;MzGutyDuCzer-PM10-24g;MzKonJezMos-PM10-24g;MzLegZegrzyn-PM10-24g;MzOstroHalle-PM10-24g;MzOtwoBrzozo-PM10-24g;MzPiasPulask-PM10-24g;MzPlocKroJad-PM10-24g;MzRad25Czerw-PM10-24g;MzSiedKonars-PM10-24g;MzWarAKrzywo-PM10-24g;MzWarAlNiepo-PM10-24g;OpGlubRatusz-PM10-24g;OpKKozBSmial-PM10-24g;OpKluczMicki-PM10-24g;OpNysaRodzie-PM10-24g;OpOpoleOsAKr-PM10-24g;OpZdziePiast-PM10-24g;PdBialWaszyn-PM10-24g;PdSuwPulaskp-PM10-24g;PkDebiGrottg-PM10-24g;PkIwonZdrRab-PM10-24g;PkJarosPruch-PM10-24g;PkJasloSikor-PM10-24g;PkKrosKletow-PM10-24g;PkMielPogodn-PM10-24g;PkNiskoSzkla-PM10-24g;PkPrzemGrunw-PM10-24g;PkRymZdrPark-PM10-24g;PkRzeszRejta-PM10-24g;PkSanoSadowa-PM10-24g;PkStWolWoPol-PM10-24g;PkTarnDabrow-PM10-24g;PmGdaLecz08m-PM10-24g;PmGdyJozBema-PM10-24g;PmKosTargo12-PM10-24g;PmKwiSportow-PM10-24g;PmLebMalcz16-PM10-24g;PmLinieKos17-PM10-24g;PmMalMicki15-PM10-24g;PmSlupKniazi-PM10-24g;PmWejhPlWejh-PM10-24g;SkBuskRokosz-PM10-24g;SkKielJagiel-PM10-24g;SkKielKusoci-PM10-24g;SkKielTargow-PM10-24g;SkKonsGranatMOB-PM10-24g;SkOzarOsWzgo-PM10-24g;SkStaraZlota-PM10-24g;SlBielKossak-PM10-24g;SlCiesMickie-PM10-24g;SlCzestoBacz-PM10-24g;SlDabro1000L-PM10-24g;SlGodGliniki-PM10-24g;SlKatoKossut-PM10-24g;SlKatoPlebA4-PM10-24g;SlKnurJedNar-PM10-24g;SlLublPiasko-PM10-24g;SlMyszMiedzi-PM10-24g;SlPszczBoged-PM10-24g;SlRybniBorki-PM10-24g;SlTarnoLitew-PM10-24g;SlZabSkloCur-PM10-24g;SlZawSkloCur-PM10-24g;SlZorySikor2-PM10-24g;SlZywieKoper-PM10-24g;WmElbBazynsk-PM10-24g;WmGlitajn-PM10-24g;WmIlawAnders-PM10-24g;WmNiTraugutt-PM10-24g;WmOlsPuszkin-PM10-24g;WmPuszczaBor-PM10-24g;WpGniePaczko-PM10-24g;WpKaliSawick-PM10-24g;WpLeszKiepur-PM10-24g;WpNoTomSzpit-PM10-24g;WpOstWieWyso-PM10-24g;WpPilaKusoci-PM10-24g;WpPleszAlMic-PM10-24g;WpPoznChwial-PM10-24g;WpPoznSzyman-PM10-24g;WpTarPodZach-PM10-24g;WpWagrowLipo-PM10-24g;ZpKolZolkiew-PM10-24g;ZpKoszArKraj-PM10-24g;ZpKoszSpasow-PM10-24g;ZpMyslZaBram-PM10-24g;ZpSzczAndr01-PM10-24g;ZpSzczec1Maj-PM10-24g;ZpSzczecPrze-PM10-24g;ZpSzczPils02-PM10-24g;ZpWiduBulRyb-PM10-24g
1/1/2018 0:00;17.13;20.56;20.35;38.89;13.31;28.08;13.81;24.7;18.3;18.31;14.15;22.08;17.14;20.67;17.26;20.310844;23.917874;12.226646;26.147012;12.627637;14.552529;45.864319;16.760269;12.330009;;25.4;10.33628;26.9;22.2;;25.7;22.6;21.2;24.6;16.6;20.454545;27.272727;18.636364;40.181818;28.818182;23.454545;31.272727;45.454545;19.545455;34.727273;34.727273;29.545455;24.181818;36.181818;28.272727;16.818182;23.727273;;19.8;16.1;14.1;13.8;15.8;13.0;22.42;17.23;;65.79;53.7;;28.74;67.87;6.48;36.92;100.44;73.95;;78.58;;23.39;43.93;49.76;100.87;14.87;24.12;31.75;29.21;36.72;30.53;18.14;37.37;30.48;33.75;29.39;31.0;24.0;23.0;20.0;24.0;34.0;20.416159;;22.0;13.9;17.2;16.4;14.7;19.5;19.0;10.9;12.6;16.9;19.0;18.1;24.3;19.0;14.0;21.0;15.0;21.0;13.0;15.0;11.0;15.0;45.510659;37.770528;27.2;;;20.0;28.331537;17.7;19.2;34.7;39.3;31.7;28.4;42.1;41.1;23.5;47.3;51.4;33.6;47.9;63.0;55.7;40.3;36.2;22.7;17.7;16.6;19.5;17.52;19.57;19.34;19.6;17.3;12.49;17.66;22.18;22.08;21.47;16.48;11.68;15.93;12.7;13.25;15.24;16.37;18.89;11.98;19.54;16.48;10.34
1/2/2018 0:00;14.18;16.29;16.23;60.1;18.15;24.28;9.26;14.57;24.31;13.85;10.53;19.22;24.16;14.31;17.11;49.8636;47.88326;33.268755;56.435787;30.461255;36.022016;58.892473;36.723218;30.497534;;51.7;22.036615;29.1;25.0;;45.9;35.9;34.1;42.7;40.0;37.818182;18.909091;34.363636;51.545455;45.090909;41.363636;59.727273;21.363636;32.818182;60.454545;47.818182;49.636364;39.454545;47.909091;23.090909;29.0;29.727273;;12.5;17.0;19.3;14.4;11.8;15.9;53.32;46.58;;75.57;59.69;;48.78;78.6;6.28;59.65;57.98;40.07;;123.66;;40.66;36.27;85.15;47.65;32.28;37.36;44.08;42.64;52.35;44.71;43.0;54.79;37.55;47.0;49.17;26.0;33.0;29.0;25.0;25.0;45.0;19.58143;;78.7;;76.6;44.4;55.9;65.9;53.1;43.8;20.7;42.3;38.9;47.2;48.4;35.0;25.0;46.0;35.0;49.0;13.0;40.0;22.0;42.0;59.852954;51.303528;40.3;;;;66.196649;20.9;17.2;45.2;52.0;55.6;42.0;56.1;38.4;46.3;73.7;125.6;43.5;46.7;46.2;75.5;38.7;41.2;43.3;27.7;45.0;47.6;39.34;27.92;34.51;26.13;14.8;16.55;23.81;38.5;31.22;21.93;20.81;17.22;28.32;18.32;20.74;37.29;17.09;15.65;26.39;34.22;19.73;11.25
1/3/2018 0:00;10.65;12.71;13.05;23.75;11.39;15.74;7.8;15.25;17.06;12.41;11.98;13.3;15.57;13.37;9.44;25.656647;28.178834;17.958695;26.356037;17.689096;19.252157;34.59787;22.035242;18.385886;;26.0;14.022241;25.1;24.0;;21.6;17.3;14.9;28.1;23.0;15.545455;45.909091;20.636364;27.545455;20.363636;21.363636;22.090909;;14.090909;23.545455;20.181818;20.0;18.181818;22.363636;19.545455;17.090909;10.909091;;20.5;9.0;11.2;6.7;8.3;9.2;17.67;13.92;;22.84;20.75;;18.78;25.7;6.65;20.2;21.13;32.7;;20.07;;15.63;20.26;19.25;15.3;16.32;14.51;17.78;25.22;20.54;18.72;21.95;22.32;25.94;22.14;27.76;21.0;13.0;15.0;12.0;14.0;21.0;17.523601;;18.5;11.0;30.3;10.6;13.0;18.9;17.7;10.9;8.86;;12.1;17.3;15.3;19.0;;14.0;21.0;28.0;25.0;17.0;12.0;20.0;19.266338;17.056253;17.3;;;13.0;;16.6;11.8;22.3;24.3;21.6;20.9;32.5;24.8;17.1;28.5;19.9;23.2;22.7;30.3;;21.8;16.6;28.5;24.3;24.7;25.3;26.2;26.16;21.17;12.29;16.2;11.0;13.42;16.04;17.07;13.85;14.32;12.0;18.78;12.34;17.44;12.92;11.18;8.84;16.78;24.45;10.49;7.8
1/4/2018 0:00;16.51;14.69;22.63;24.47;13.08;15.89;12.08;19.66;18.58;13.98;12.86;15.21;18.78;17.59;21.2;13.105141;19.461154;8.944544;16.219723;12.609059;11.281852;33.52758;13.342048;12.782623;18.112845;16.771526;5.406519;19.4;11.9;;17.3;13.8;14.7;20.3;10.6;10.363636;11.545455;12.909091;21.545455;15.272727;16.0;26.272727;16.454545;11.636364;25.181818;21.181818;15.909091;9.636364;22.090909;15.090909;12.909091;20.363636;;24.0;11.4;17.1;12.7;19.3;19.0;14.41;12.09;20.58;23.97;19.13;13.39;19.51;22.86;10.07;15.83;55.17;48.89;;42.84;9.95;12.42;23.7;20.02;36.05;9.25;11.61;13.97;15.42;15.45;15.45;15.42;24.31;19.41;17.24;26.49;22.0;13.0;14.0;15.0;13.0;20.0;13.068517;;16.3;7.69;20.9;9.75;8.69;15.8;13.0;27.0;6.94;10.7;10.2;16.8;13.5;10.0;13.0;18.0;12.0;19.0;9.0;12.0;11.0;8.0;20.028651;21.648733;21.5;;;11.0;;17.9;13.2;20.5;25.9;12.0;21.4;29.3;21.8;13.9;24.1;16.7;25.5;22.9;32.2;21.2;19.8;24.7;13.0;10.2;12.6;15.1;12.59;14.72;17.74;13.41;14.5;11.76;13.61;13.77;14.76;12.98;12.65;11.02;12.83;9.63;10.0;8.73;12.01;6.31;7.97;12.23;10.17;8.35
1/5/2018 0:00;15.96;21.32;18.68;27.55;16.02;19.79;11.98;17.7;26.92;17.06;19.6;20.13;20.97;17.29;23.84;19.390582;22.262627;13.280622;23.725066;20.301714;18.388792;33.364902;16.820692;16.500453;20.415934;25.983681;10.906504;20.7;16.0;;21.8;16.0;16.7;23.2;12.9;15.818182;22.454545;20.0;30.181818;22.818182;21.363636;26.0;25.363636;15.090909;25.909091;24.181818;21.454545;76.0;26.090909;19.636364;28.272727;16.636364;26.636364;17.8;13.7;22.2;19.0;15.3;15.4;16.52;16.59;25.01;36.58;31.22;20.33;26.74;34.59;23.84;;64.37;84.88;;56.28;15.19;15.92;30.95;29.53;45.43;14.51;16.14;17.6;19.59;21.45;20.17;21.23;25.94;22.68;22.68;27.76;22.0;15.0;18.0;14.0;20.0;20.0;17.5782;;20.5;14.7;21.3;15.9;15.0;18.3;18.1;20.3;13.0;16.0;12.3;17.4;18.8;15.0;14.0;20.0;15.0;21.0;13.0;14.0;12.0;14.0;22.113223;20.908797;22.8;;;8.0;24.756019;17.6;14.6;19.1;29.6;15.8;22.3;41.5;19.0;19.3;30.2;22.2;17.1;22.3;28.5;23.3;22.0;12.3;19.8;18.5;18.7;21.3;20.3;21.07;24.18;17.16;19.1;17.42;17.27;15.52;19.6;19.85;16.54;12.54;14.95;9.98;13.82;11.46;11.82;8.79;11.22;15.99;11.56;8.89
