;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67
;DsLegAlRzecz;DsOsieczow21;DsWalbrzWyso;DsWrocNaGrob;DsZgorBohGet;KpBydBerling;KpGrudSienki;KpToruDziewu;KpWloclGniaz;KpZielBoryTu;LbBiaPodOrze;LbChelJagiel;LbLubSliwins;LbZamoHrubie;LdLodzCzerni;LdLodzLegion;LdPioTrKraPr;LuGorzPilsud;LuZarySzyman;LuZielKrotka;MpBochKonfed;MpKrakBujaka;MpNoSaczNadb;MpTarBitStud;MpTrzebOsZWM;MpZakopaSien;MzPlocKroJad;MzRadHallera;MzWarKondrat;MzWarWokalna;OpKluczMicki;OpOpoleOsAKr;PdBialWarsza;PdLomSikorsk;PkJasloSikor;PkKrosKletow;PkNiskoSzkla;PkRzeszRejta;PmGdaPowWiel;PmKosTargo12;PmSlupKniazi;SkBuskRokosz;SkKielJagiel;SkKielTargow;SkKielWarsza;SkKonsGranatMOB;SkStaraZlota;SlBielSterni;SlCzestoZana;SlGliwicMewy;SlGodGliniki;SlKatoKossut;SlKatoPlebA4;SlTarnoLitew;SlZlotPotLes;SlZorySikor2;WmElbBazynsk;WmOlsPuszkin;WmOstrPilsud;WmPuszczaBor;WpKaliSawick;WpPleszAlMic;WpPoznDabrow;ZpKoszSpasow;ZpMyslZaBram;ZpSzczAndr01;ZpSzczec1Maj
;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5
;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g
;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3
Czas pomiaru;DsLegAlRzecz-PM2.5-24g;DsOsieczow21-PM2.5-24g;DsWalbrzWyso-PM2.5-24g;DsWrocNaGrob-PM2.5-24g;DsZgorBohGet-PM2.5-24g;KpBydBerling-PM2.5-24g;KpGrudSienki-PM2.5-24g;KpToruDziewu-PM2.5-24g;KpWloclGniaz-PM2.5-24g;KpZielBoryTu-PM2.5-24g;LbBiaPodOrze-PM2.5-24g;LbChelJagiel-PM2.5-24g;LbLubSliwins-PM2.5-24g;LbZamoHrubie-PM2.5-24g;LdLodzCzerni-PM2.5-24g;LdLodzLegion-PM2.5-24g;LdPioTrKraPr-PM2.5-24g;LuGorzPilsud-PM2.5-24g;LuZarySzyman-PM2.5-24g;LuZielKrotka-PM2.5-24g;MpBochKonfed-PM2.5-24g;MpKrakBujaka-PM2.5-24g;MpNoSaczNadb-PM2.5-24g;MpTarBitStud-PM2.5-24g;MpTrzebOsZWM-PM2.5-24g;MpZakopaSien-PM2.5-24g;MzPlocKroJad-PM2.5-24g;MzRadHallera-PM2.5-24g;MzWarKondrat-PM2.5-24g;MzWarWokalna-PM2.5-24g;OpKluczMicki-PM2.5-24g;OpOpoleOsAKr-PM2.5-24g;PdBialWarsza-PM2.5-24g;PdLomSikorsk-PM2.5-24g;PkJasloSikor-PM2.5-24g;PkKrosKletow-PM2.5-24g;PkNiskoSzkla-PM2.5-24g;PkRzeszRejta-PM2.5-24g;PmGdaPowWiel-PM2.5-24g;PmKosTargo12-PM2.5-24g;PmSlupKniazi-PM2.5-24g;SkBuskRokosz-PM2.5-24g;SkKielJagiel-PM2.5-24g;SkKielTargow-PM2.5-24g;SkKielWarsza-PM2.5-24g;SkKonsGranatMOB-PM2.5-24g;SkStaraZlota-PM2.5-24g;SlBielSterni-PM2.5-24g;SlCzestoZana-PM2.5-24g;SlGliwicMewy-PM2.5-24g;SlGodGliniki-PM2.5-24g;SlKatoKossut-PM2.5-24g;SlKatoPlebA4-PM2.5-24g;SlTarnoLitew-PM2.5-24g;SlZlotPotLes-PM2.5-24g;SlZorySikor2-PM2.5-24g;WmElbBazynsk-PM2.5-24g;WmOlsPuszkin-PM2.5-24g;WmOstrPilsud-PM2.5-24g;WmPuszczaBor-PM2.5-24g;WpKaliSawick-PM2.5-24g;WpPleszAlMic-PM2.5-24g;WpPoznDabrow-PM2.5-24g;ZpKoszSpasow-PM2.5-24g;ZpMyslZaBram-PM2.5-24g;ZpSzczAndr01-PM2.5-24g;ZpSzczec1Maj-PM2.5-24g
1/1/2018 0:00;16.96;11.3;11.3;16.66;16.21;10.583772;21.401894;15.311304;17.115564;8.653958;24.7;21.1;20.5;15.5;19.363636;31.454545;31.272727;13.4;12.5;11.1;19.22;5.17;84.83;23.24;37.27;91.15;15.06;31.2;28.13;23.22;18.0;20.0;20.875593;36.603726;14.9;13.8;18.7;16.5;11.0;19.0;9.0;29.8;30.504809;;33.1;;23.152534;14.7;32.7;37.9;29.4;24.7;35.1;38.8;27.7;24.4;25.5;14.5;14.4;13.83;16.55;18.93;15.49;10.94;15.24;16.67;7.23
1/2/2018 0:00;13.33;7.91;8.04;16.78;11.73;28.025395;47.178393;31.969763;34.666017;18.889991;23.9;21.3;27.8;37.4;31.181818;38.727273;47.0;15.0;9.2;11.5;45.81;22.48;49.96;38.05;32.82;44.64;38.64;45.36;31.98;34.47;22.0;20.0;19.22252;48.922222;41.1;51.4;46.4;37.9;27.0;43.0;17.0;44.4;42.885997;;33.3;;58.342025;18.2;30.6;33.0;52.2;30.5;41.6;;27.1;35.7;38.5;34.1;35.6;21.06;24.63;26.46;16.06;12.52;14.15;11.24;17.99
1/3/2018 0:00;10.68;6.62;8.63;10.64;10.62;13.261016;21.928297;17.439632;18.574714;11.896107;21.3;22.2;14.6;20.5;14.363636;21.454545;19.818182;8.1;6.8;7.8;15.06;13.73;14.01;14.57;18.34;14.06;19.23;20.14;14.34;14.33;11.0;11.0;15.956557;27.82207;9.96;12.2;15.8;12.0;18.0;13.0;10.0;14.6;14.898759;;11.2;;16.791004;14.6;18.7;20.0;19.1;18.2;21.2;19.7;11.9;17.8;48.0;22.9;19.7;18.85;11.56;14.1;11.42;9.31;9.27;5.98;10.59
1/4/2018 0:00;17.09;8.18;7.92;10.85;12.74;7.362625;10.50374;9.015881;12.421276;4.845892;15.8;10.0;11.5;8.6;8.909091;16.090909;18.363636;9.4;15.1;14.1;12.44;11.44;42.09;10.05;17.76;33.39;11.07;21.05;8.17;9.8;8.0;9.0;12.928113;23.863054;8.48;8.89;11.7;9.32;9.0;15.0;8.0;16.7;14.917022;;11.7;;23.161599;11.9;18.4;16.9;9.2;12.8;17.2;20.7;10.4;12.1;39.5;9.2;8.9;10.02;10.74;11.22;9.14;5.58;9.43;4.53;4.04
1/5/2018 0:00;13.5;8.37;14.1;13.67;12.14;10.42251;13.683764;10.908094;17.134937;7.347165;17.6;14.4;14.4;11.3;15.090909;21.636364;17.454545;12.5;11.6;11.3;13.88;14.83;47.18;13.19;24.57;41.75;15.78;20.32;12.52;11.97;11.0;14.0;15.224283;27.132508;15.2;15.4;16.6;13.7;9.0;17.0;9.0;16.5;15.521813;;12.2;;18.758662;11.5;16.5;15.6;12.4;20.0;26.7;16.7;13.5;16.8;73.2;13.8;14.9;12.78;13.99;14.34;13.98;7.11;9.07;5.98;6.39
