"Nr","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179"
"Kod stacji","DsGlogWiStwo","DsJaworMOB","DsJelGorSoko","DsLegAlRzecz","DsNowRudJezi","DsOlawZolnAK","DsOlesBrzozo","DsOsieczow21","DsPolKasztan","DsSwidnFolwa","DsSzczaKolej","DsWalbrzWyso","DsWrocOrzech","DsWrocWybCon","DsZgorBohGet","DsZlotoStasz","KpBrodKochan","KpBydWarszaw","KpCiechTezni","KpGrudSienki","KpInowSolank","KpKoniczynka","KpMogiNowMOB","KpNaklSkargi","KpToruDziewu","KpWieniZdroj","KpWloclGniaz","KpWloclOkrze","KpZielBoryTu","LbBiaPodOrze","LbChelPolan","LbFlorianRPN","LbKrasKoszar","LbLubSliwins","LbNaleczow","LbPulaKarpin","LbRadzPodSit","LbZamoHrubie","LdBelchatEdward","LdBrzeReform","LdKutnKosciu","LdLodzLegion","LdLodzRudzka","LdLowiczSien","LdOpocCurieSk","LdPabiKilins","LdParzniUjWo","LdPioTrKraPr","LdRadomsRoln","LdRawaNiepod","LdSieraPolna","LdSkierKonop","LdToMaSwAnto","LdUniejTermy","LdWieluPOW12","LdZduWoKrole","LuGorzKosGdy","LuGorzPilsud","LuNowaSolMOB","LuSulecDudka","LuWsKaziWiel","LuZarySzyman","LuZielKrotka","MpBochKonfed","MpGorlKrasin","MpKrakAlKras","MpKrakBujaka","MpKrakBulwar","MpKrakOsPias","MpKrakSwoszo","MpKrakWadow","MpKrakZloRog","MpKrynicDiet","MpNiepo3Maja","MpNoSaczNadb","MpNoTargPSlo","MpOlkuCegiel","MpOswiecBema","MpSuchaNiesz","MpSzymbaGorl","MpTarBitStud","MpTrzebOsZWM","MpTuchChopin","MpZabieWapie","MpZakopaSien","MzGutyDuCzer","MzKonJezMos","MzLegZegrzyn","MzMinMazKaziMOB","MzOstroHalle","MzOtwoBrzozo","MzPiasPulask","MzPlocKroJad","MzRad25Czerw","MzSiedKonars","MzWarAKrzywo","MzWarAlNiepo","MzWarBajkowa","MzWarChrosci","OpGlubRatusz","OpKKozBSmial","OpKluczMicki","OpNysaRodzie","OpOpoleOsAKr","OpPrudPodgor","OpZdziePiast","PdBialWaszyn","PdSuwPulaskp","PkDebiGrottg","PkHorZdrParkMOB","PkIwonZdrRab","PkJarosPruch","PkJasloSikor","PkKrosKletow","PkMielPogodn","PkNiskoSzkla","PkPrzemGrunw","PkRymZdrPark","PkRzeszRejta","PkSanoSadowa","PkStWolWoPol","PkTarnDabrow","PmGdaLecz08m","PmGdyJozBema","PmKosTargo12","PmKwiSportow","PmLebMalcz16","PmMalMicki15","PmSlupKniazi","SkBuskRokosz","SkKielKusoci","SkKielTargow","SkOzarOsWzgo","SkSkarZielnaMOB","SkSolecZdroj","SkStaraZlota","SlBielKossak","SlCiesMickie","SlCzestoBacz","SlDabro1000L","SlGodGliniki","SlKatoKossut","SlKatoPlebA4","SlKnurJedNar","SlMyszMiedzi","SlPszczBoged","SlRybniBorki","SlTarnoLitew","SlZabSkloCur","SlZorySikor2","SlZywieKoper","WmElbBazynsk","WmGlitajn","WmGoldUzdrowMOB","WmIlawAnders","WmNiTraugutt","WmOlsPuszkin","WmOstrPilsud","WmPuszczaBor","WpGniePaczko","WpKaliSawick","WpLeszKiepur","WpNoTomSzpit","WpOstWieWyso","WpPilaKusoci","WpPleszAlMic","WpPoznChwial","WpPoznSzyman","WpTarPodZach","WpWagrowLipo","ZpKolZolkiew","ZpKoszArKraj","ZpKoszSpasow","ZpMyslZaBram","ZpSzczAndr01","ZpSzczBudzWosMOB","ZpSzczec1Maj","ZpSzczecPrze","ZpSzczPils02"
"Wskaźnik","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10","PM10"
"Czas uśredniania","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g"
"Jednostka","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3"
"Kod stanowiska","DsGlogWiStwo-PM10-24g","DsJaworMOB-PM10-24g","DsJelGorSoko-PM10-24g","DsLegAlRzecz-PM10-24g","DsNowRudJezi-PM10-24g","DsOlawZolnAK-PM10-24g","DsOlesBrzozo-PM10-24g","DsOsieczow21-PM10-24g","DsPolKasztan-PM10-24g","DsSwidnFolwa-PM10-24g","DsSzczaKolej-PM10-24g","DsWalbrzWyso-PM10-24g","DsWrocOrzech-PM10-24g","DsWrocWybCon-PM10-24g","DsZgorBohGet-PM10-24g","DsZlotoStasz-PM10-24g","KpBrodKochan-PM10-24g","KpBydWarszaw-PM10-24g","KpCiechTezni-PM10-24g","KpGrudSienki-PM10-24g","KpInowSolank-PM10-24g","KpKoniczynka-PM10-24g","KpMogiNowMOB-PM10-24g","KpNaklSkargi-PM10-24g","KpToruDziewu-PM10-24g","KpWieniZdroj-PM10-24g","KpWloclGniaz-PM10-24g","KpWloclOkrze-PM10-24g","KpZielBoryTu-PM10-24g","LbBiaPodOrze-PM10-24g","LbChelPolan-PM10-24g","LbFlorianRPN-PM10-24g","LbKrasKoszar-PM10-24g","LbLubSliwins-PM10-24g","LbNaleczow-PM10-24g","LbPulaKarpin-PM10-24g","LbRadzPodSit-PM10-24g","LbZamoHrubie-PM10-24g","LdBelchatEdward-PM10-24g","LdBrzeReform-PM10-24g","LdKutnKosciu-PM10-24g","LdLodzLegion-PM10-24g","LdLodzRudzka-PM10-24g","LdLowiczSien-PM10-24g","LdOpocCurieSk-PM10-24g","LdPabiKilins-PM10-24g","LdParzniUjWo-PM10-24g","LdPioTrKraPr-PM10-24g","LdRadomsRoln-PM10-24g","LdRawaNiepod-PM10-24g","LdSieraPolna-PM10-24g","LdSkierKonop-PM10-24g","LdToMaSwAnto-PM10-24g","LdUniejTermy-PM10-24g","LdWieluPOW12-PM10-24g","LdZduWoKrole-PM10-24g","LuGorzKosGdy-PM10-24g","LuGorzPilsud-PM10-24g","LuNowaSolMOB-PM10-24g","LuSulecDudka-PM10-24g","LuWsKaziWiel-PM10-24g","LuZarySzyman-PM10-24g","LuZielKrotka-PM10-24g","MpBochKonfed-PM10-24g","MpGorlKrasin-PM10-24g","MpKrakAlKras-PM10-24g","MpKrakBujaka-PM10-24g","MpKrakBulwar-PM10-24g","MpKrakOsPias-PM10-24g","MpKrakSwoszo-PM10-24g","MpKrakWadow-PM10-24g","MpKrakZloRog-PM10-24g","MpKrynicDiet-PM10-24g","MpNiepo3Maja-PM10-24g","MpNoSaczNadb-PM10-24g","MpNoTargPSlo-PM10-24g","MpOlkuCegiel-PM10-24g","MpOswiecBema-PM10-24g","MpSuchaNiesz-PM10-24g","MpSzymbaGorl-PM10-24g","MpTarBitStud-PM10-24g","MpTrzebOsZWM-PM10-24g","MpTuchChopin-PM10-24g","MpZabieWapie-PM10-24g","MpZakopaSien-PM10-24g","MzGutyDuCzer-PM10-24g","MzKonJezMos-PM10-24g","MzLegZegrzyn-PM10-24g","MzMinMazKaziMOB-PM10-24g","MzOstroHalle-PM10-24g","MzOtwoBrzozo-PM10-24g","MzPiasPulask-PM10-24g","MzPlocKroJad-PM10-24g","MzRad25Czerw-PM10-24g","MzSiedKonars-PM10-24g","MzWarAKrzywo-PM10-24g","MzWarAlNiepo-PM10-24g","MzWarBajkowa-PM10-24g","MzWarChrosci-PM10-24g","OpGlubRatusz-PM10-24g","OpKKozBSmial-PM10-24g","OpKluczMicki-PM10-24g","OpNysaRodzie-PM10-24g","OpOpoleOsAKr-PM10-24g","OpPrudPodgor-PM10-24g","OpZdziePiast-PM10-24g","PdBialWaszyn-PM10-24g","PdSuwPulaskp-PM10-24g","PkDebiGrottg-PM10-24g","PkHorZdrParkMOB-PM10-24g","PkIwonZdrRab-PM10-24g","PkJarosPruch-PM10-24g","PkJasloSikor-PM10-24g","PkKrosKletow-PM10-24g","PkMielPogodn-PM10-24g","PkNiskoSzkla-PM10-24g","PkPrzemGrunw-PM10-24g","PkRymZdrPark-PM10-24g","PkRzeszRejta-PM10-24g","PkSanoSadowa-PM10-24g","PkStWolWoPol-PM10-24g","PkTarnDabrow-PM10-24g","PmGdaLecz08m-PM10-24g","PmGdyJozBema-PM10-24g","PmKosTargo12-PM10-24g","PmKwiSportow-PM10-24g","PmLebMalcz16-PM10-24g","PmMalMicki15-PM10-24g","PmSlupKniazi-PM10-24g","SkBuskRokosz-PM10-24g","SkKielKusoci-PM10-24g","SkKielTargow-PM10-24g","SkOzarOsWzgo-PM10-24g","SkSkarZielnaMOB-PM10-24g","SkSolecZdroj-PM10-24g","SkStaraZlota-PM10-24g","SlBielKossak-PM10-24g","SlCiesMickie-PM10-24g","SlCzestoBacz-PM10-24g","SlDabro1000L-PM10-24g","SlGodGliniki-PM10-24g","SlKatoKossut-PM10-24g","SlKatoPlebA4-PM10-24g","SlKnurJedNar-PM10-24g","SlMyszMiedzi-PM10-24g","SlPszczBoged-PM10-24g","SlRybniBorki-PM10-24g","SlTarnoLitew-PM10-24g","SlZabSkloCur-PM10-24g","SlZorySikor2-PM10-24g","SlZywieKoper-PM10-24g","WmElbBazynsk-PM10-24g","WmGlitajn-PM10-24g","WmGoldUzdrowMOB-PM10-24g","WmIlawAnders-PM10-24g","WmNiTraugutt-PM10-24g","WmOlsPuszkin-PM10-24g","WmOstrPilsud-PM10-24g","WmPuszczaBor-PM10-24g","WpGniePaczko-PM10-24g","WpKaliSawick-PM10-24g","WpLeszKiepur-PM10-24g","WpNoTomSzpit-PM10-24g","WpOstWieWyso-PM10-24g","WpPilaKusoci-PM10-24g","WpPleszAlMic-PM10-24g","WpPoznChwial-PM10-24g","WpPoznSzyman-PM10-24g","WpTarPodZach-PM10-24g","WpWagrowLipo-PM10-24g","ZpKolZolkiew-PM10-24g","ZpKoszArKraj-PM10-24g","ZpKoszSpasow-PM10-24g","ZpMyslZaBram-PM10-24g","ZpSzczAndr01-PM10-24g","ZpSzczBudzWosMOB-PM10-24g","ZpSzczec1Maj-PM10-24g","ZpSzczecPrze-PM10-24g","ZpSzczPils02-PM10-24g"
"1/1/2019 0:00","13.71","13.15","22.24","15.86","","12.52","21.93","14.26","13.65","18.22","13.28","11.82","18.79","19.49","19.91","16.76","23.441388","22.273122","14.351055","24.14934","13.044433","15.260427","","25.961397","21.32811","15.901797","20.706411","16.409494","9.091276","26.6","14.9","13.9","20.1","19.5","","16.9","19.9","16.6","7.181818","24.181818","17.181818","21.363636","19.454545","21.454545","18.454545","","11.909091","17.636364","22","20.090909","16.636364","18.909091","20.636364","16.909091","18.727273","23.363636","16.1","12.2","14.6","15.2","17.2","19.6","23","19.67","18.98","31.31","23.42","20.87","24.81","","21.28","27.29","","","26.81","38.31","","25.66","23.13","13.24","20.4","29.6","20.16","29.1","18.25","9.61","12.87","15.97","","17.05","14","7.45","","20.31","22.85","23.77","","","","23","22","19","23","18","17","25","14.888405","10.533217","23.8","","11.5","16.4","20.8","15.5","25.1","19.6","14","10.2","19.9","","16.5","","9","7","11","9","14","9","12","21.7","21.373504","25.412043","13","","","21.09743","19.2","","14","26.2","22.2","26.3","33.9","28.6","33.8","32.8","29.2","22.5","35.3","29","21.2","13.46","9.22","6.58","15.74","14.64","5.87","8.61","7.9","16.92","16.51","21.58","14.08","18.08","13.91","20.21","22.53","17.21","14.78","23.83","14.33","13.75","14.55","8.55","22.18","","11.55","9.88","18.25"
"1/2/2019 0:00","8.28","11.26","10.17","13.28","","9.95","7.23","10.16","7.39","10.34","7.78","8.55","6.74","8.76","13.77","13.26","13.475671","8.35636","7.021402","9.820619","5.080158","5.244226","","10.632411","9.760135","6.781382","11.495712","10.153941","3.911347","13.6","7.1","5.1","10.7","6.2","","20","8.8","8.7","34.454545","19.818182","7.545455","9.818182","11.727273","9.090909","4.636364","","4.090909","11.636364","16.181818","6.727273","10.454545","11","9.181818","7.636364","11","11.181818","7.1","6.9","10.6","15.1","15.5","11.8","16.1","15.68","7.45","12.99","10.56","8.23","11.49","7.14","7.3","11.42","","","11.22","10.44","","8.76","10.1","5.59","10.09","15.81","10.35","10.4","7.3","3.45","4.53","5.8","","5.81","7.27","13.08","18.18","7.98","6.17","5.44","","","","15","10","12","10","11","10","11","2.9","3.849933","11.8","","6.05","8.62","7.63","12.6","11.5","10.6","7.41","","8.01","","8.8","","7","6","12","7","7","10","7","","8.045601","10.742709","7","","","11.15698","","","16.7","12.2","13.7","18.5","16.1","9","12.6","13.5","12.6","17.9","9.3","10.8","13.9","7.42","4.44","1.87","7.37","5.39","5.17","5.72","2.9","6.07","8.28","9.13","14.36","14.67","6.83","17.14","8.76","8.07","6.72","8.24","7.08","8.29","4.37","6.91","8.02","","7.42","6.44","9.63"
"1/3/2019 0:00","8.06","13.87","12.92","16.72","","","9.41","10.52","6.46","12.56","9.25","11.62","6.84","9.26","16.84","14.77","23.469117","10.233309","9.162111","17.499651","2.21369","8.131584","","15.514595","12.420771","7.778644","10.262547","11.423184","4.222183","20","11.5","7.3","9.9","6.1","","15.5","11.6","15.6","6.545455","24.727273","13.181818","16","19.545455","14.727273","6.727273","","5.545455","17.454545","22.181818","10.272727","15.090909","19.454545","12.727273","13.454545","17.818182","14.363636","8.4","8.1","12.8","28.6","25.9","11.7","14.9","28.58","11.73","20.56","13.9","7.96","15.61","11.84","8.72","15.56","","8.01","16.41","15.23","","12.46","10.18","9","15.7","15.83","19.05","13.1","10.49","6.35","7.07","8.71","","6.89","11.27","25.81","10.73","9.61","10.34","9.62","","","","17","12","17","11","11","11","13","5.833469","6.2","15.8","","11","12.4","10.7","21.1","16.6","13","10.1","8.78","10.2","11.1","11.2","10.6","8","5","19","7","9","8","13","39.340163","","12.480012","7","","7.326344","14.359245","16.6","12.7","16.9","10.5","16.5","19.8","22","11.5","19.3","20.9","20.3","19.6","11.6","13.2","18.4","7.28","8.59","2.75","10.59","17.33","7.02","10.78","4.6","8.79","8.83","11.32","25.06","20","10.98","24.02","9.78","9.52","6.89","11.36","6.35","9.4","7.09","10.91","12.7","","9.51","13.16","13.64"
"1/4/2019 0:00","11.47","16.49","13.65","16.63","","","16.65","9.82","9.47","25.01","12.62","17.76","11.11","16.32","18.67","17.82","33.227482","22.884947","16.564432","25.343514","11.810509","13.858443","19.7643","36.744559","19.71895","16.699607","19.836089","26.128266","9.235712","28.5","19.5","16.7","20","18.5","","14.1","20.6","22.8","17.727273","41.909091","25.909091","33.090909","35.636364","33.909091","22.545455","","14.727273","25","29.545455","20.909091","22.727273","32.181818","28.636364","20.818182","23.727273","","10.9","12","12.9","18.2","20.8","11","21.8","27.78","18.27","54.41","27.16","20.11","26.79","22.24","19.53","28.54","","20.71","29.34","28.29","","20.67","31.42","15.21","21.64","27.78","25.63","23.3","14.03","13.06","17.59","21.41","20.55","21.04","18.36","9.45","","23.57","20.14","22.68","","","","23","21","20","16","16","22","25","13.128051","13.637016","22.6","22.1","14.3","21.3","20","25.8","25.1","20.6","17.9","14.6","18.1","25.4","18.6","19.5","12","10","19","14","32","13","22","17.293199","21.26441","26.332128","11","19.896671","21.675395","14.922794","26.4","24.9","16.1","23.8","20.8","23","37.7","24.5","36.5","32.1","28.4","21.3","30.3","28.8","22.9","16.63","64.08","13.16","19.97","23.52","14.76","15.97","10.8","22.87","14.5","19.3","16.59","27.33","17.07","22.52","17.48","14.66","11.21","18.88","9.26","14.98","14.55","11.46","15.65","","14.69","20.83","17.95"
"1/5/2019 0:00","6.67","8.69","8.02","12.19","","10.27","8.1","7.93","4.19","8.78","5.52","5.86","6.18","8.25","11.55","10.02","17.444922","11.082572","7.674472","21.393343","7.457785","9.677419","12.6389","17.563564","13.02663","12.094069","9.537452","9.192943","4.432527","22.2","17.2","12.7","17.9","15","","10.5","15.6","16.1","7.181818","28.727273","10.545455","17.545455","14.909091","16.181818","11.545455","","6.181818","18.363636","23.181818","11.090909","11.181818","13.545455","16.363636","10.545455","14.363636","","9.9","8.4","10.8","15.7","21.4","8.3","12.3","23.88","20.75","25.12","17.91","11.84","12.71","15.03","10.47","15.19","","14.01","31.86","16.32","","18.07","20.04","14.92","16.92","19.53","22.11","16.9","13.57","4.53","6.89","6.53","11.27","8.71","14.36","33.8","","12.69","15.6","8.53","","11.81","","18","14","15","11","10","10","15","3.057577","5.448077","22.2","10.7","18.2","16.1","29.5","24.9","","17.1","14.5","16.4","17.6","22.7","15.6","17.9","6","4","14","12","8","8","22","15.133986","15.182646","17.984508","6","10.883828","16.030855","13.772978","19.4","25.3","17.8","12.9","22.1","22.8","26.1","14","19.3","30.7","30.4","18.3","15.3","21","25.5","9.15","8.51","1.95","7.8","10.33","4.12","6.21","3.6","7.68","8.54","8.55","20.28","21.07","14.67","22.05","9.1","9.06","8.04","13.05","6.35","7.23","9.46","13.09","14.03","","8.13","8.67","12.89"
