"Nr","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64"
"Kod stacji","DsLegPolarna","DsOsieczow21","DsWalbrzWyso","DsWrocNaGrob","DsZgorBohGet","KpBydBerling","KpGrudSienki","KpToruDziewu","KpWloclGniaz","KpZielBoryTu","LbBiaPodOrze","LbChelPolan","LbLubSliwins","LbZamoHrubie","LdLodzCzerni","LdLodzLegion","LdPioTrKraPr","LuGorzPilsud","LuZarySzyman","LuZielKrotka","MpBochKonfed","MpKrakBujaka","MpNoSaczNadb","MpTarBitStud","MpTrzebOsZWM","MpZakopaSien","MzPlocKroJad","MzRadHallera","MzWarKondrat","MzWarWokalna","OpKluczMicki","OpOpoleOsAKr","PdBialWarsza","PdLomSikorsk","PkJasloSikor","PkKrosKletow","PkNiskoSzkla","PkRzeszRejta","PmGdaPowWiel","PmSlupKniazi","SkBuskRokosz","SkKielTargow","SkKielWarsza","SkSkarZielnaMOB","SkStaraZlota","SlBielSterni","SlCzestoZana","SlGliwicMewy","SlGodGliniki","SlKatoKossut","SlKatoPlebA4","SlTarnoLitew","SlZlotPotLes","SlZorySikor2","WmElbBazynsk","WmOlsPuszkin","WmOstrPilsud","WmPuszczaBor","WpPleszAlMic","WpPoznDabrow","ZpKoszSpasow","ZpMyslZaBram","ZpSzczAndr01","ZpSzczec1Maj"
"Wskaźnik","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5","PM2.5"
"Czas uśredniania","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g","24g"
"Jednostka","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3","ug/m3"
"Kod stanowiska","DsLegPolarna-PM2.5-24g","DsOsieczow21-PM2.5-24g","DsWalbrzWyso-PM2.5-24g","DsWrocNaGrob-PM2.5-24g","DsZgorBohGet-PM2.5-24g","KpBydBerling-PM2.5-24g","KpGrudSienki-PM2.5-24g","KpToruDziewu-PM2.5-24g","KpWloclGniaz-PM2.5-24g","KpZielBoryTu-PM2.5-24g","LbBiaPodOrze-PM2.5-24g","LbChelPolan-PM2.5-24g","LbLubSliwins-PM2.5-24g","LbZamoHrubie-PM2.5-24g","LdLodzCzerni-PM2.5-24g","LdLodzLegion-PM2.5-24g","LdPioTrKraPr-PM2.5-24g","LuGorzPilsud-PM2.5-24g","LuZarySzyman-PM2.5-24g","LuZielKrotka-PM2.5-24g","MpBochKonfed-PM2.5-24g","MpKrakBujaka-PM2.5-24g","MpNoSaczNadb-PM2.5-24g","MpTarBitStud-PM2.5-24g","MpTrzebOsZWM-PM2.5-24g","MpZakopaSien-PM2.5-24g","MzPlocKroJad-PM2.5-24g","MzRadHallera-PM2.5-24g","MzWarKondrat-PM2.5-24g","MzWarWokalna-PM2.5-24g","OpKluczMicki-PM2.5-24g","OpOpoleOsAKr-PM2.5-24g","PdBialWarsza-PM2.5-24g","PdLomSikorsk-PM2.5-24g","PkJasloSikor-PM2.5-24g","PkKrosKletow-PM2.5-24g","PkNiskoSzkla-PM2.5-24g","PkRzeszRejta-PM2.5-24g","PmGdaPowWiel-PM2.5-24g","PmSlupKniazi-PM2.5-24g","SkBuskRokosz-PM2.5-24g","SkKielTargow-PM2.5-24g","SkKielWarsza-PM2.5-24g","SkSkarZielnaMOB-PM2.5-24g","SkStaraZlota-PM2.5-24g","SlBielSterni-PM2.5-24g","SlCzestoZana-PM2.5-24g","SlGliwicMewy-PM2.5-24g","SlGodGliniki-PM2.5-24g","SlKatoKossut-PM2.5-24g","SlKatoPlebA4-PM2.5-24g","SlTarnoLitew-PM2.5-24g","SlZlotPotLes-PM2.5-24g","SlZorySikor2-PM2.5-24g","WmElbBazynsk-PM2.5-24g","WmOlsPuszkin-PM2.5-24g","WmOstrPilsud-PM2.5-24g","WmPuszczaBor-PM2.5-24g","WpPleszAlMic-PM2.5-24g","WpPoznDabrow-PM2.5-24g","ZpKoszSpasow-PM2.5-24g","ZpMyslZaBram-PM2.5-24g","ZpSzczAndr01-PM2.5-24g","ZpSzczec1Maj-PM2.5-24g"
"1/1/2019 0:00","","9.83","8.51","14.18","14.57","10.202789","17.876771","15.37708","13.914277","4.88238","25.5","13.9","16.9","15","16.181818","19.818182","14.363636","","11.2","11.4","17.38","19.98","22.46","17.5","24.03","17.23","13.27","17.41","11.97","13.43","15","12","12.327062","17.959157","20.3","16.2","17.2","16.5","3","4","20.3","20.82837","22.05207","","18.164297","15","11.1","25.9","17.2","22.7","27.1","18.2","13.6","","8.74","4.84","10.88","6.02","14.65","13.8","8.89","3.45","15.94","6.53"
"1/2/2019 0:00","","6.02","6.52","4.27","8.47","2.514163","7.21589","4.926959","7.38539","3.470731","12","5.8","3.8","6.4","4.181818","7.454545","8.818182","","6.9","8.5","13.7","9.02","10.91","6.89","11.24","6.31","4.18","5.62","3.08","3.27","9","6","5.3","11.3","5.66","10.5","8.89","5.79","","","","9.28578","9.816907","","10.776058","7","9.4","10.3","9.4","11.4","10.7","13.2","8.4","","3.59","3.11","5.07","2.82","12.24","4.63","3.63","2.54","4.71","5.08"
"1/3/2019 0:00","11.57","7.47","8.28","7.13","14.02","3.111281","13.6","7.296194","9.256851","3.487735","14.8","9.3","5.4","13.2","7.454545","13.818182","15.818182","","7.1","9.8","23.7","9.89","12.13","12.4","12.2","7.53","6.36","6.35","4.17","4.9","12","8","5.338737","15.053869","8.1","17.1","9.55","7.71","10","","20.542555","7.14715","10.927146","","10.872727","12.9","12.1","10.5","13.6","14.9","17.7","14.4","11.4","","5.8","4.23","9.92","2.84","17.1","5.68","5.08","8.35","8.7","5.98"
"1/4/2019 0:00","12.8","7.62","14.83","11.57","15.11","12.171941","21.127407","12.586574","15.86164","5.802196","23.6","17.7","14.1","18.1","20.545455","29.727273","22.454545","","8.1","14.1","24.35","23.46","27.89","17.63","24.3","13.02","15.82","16.68","14.51","13.24","17","13","13.858919","28.346617","16.7","23.4","17.1","15","5","13","15.973778","20.638261","19.02043","19.095117","12.066927","23.2","12.4","18.3","","19.8","27.3","16.3","14.5","","13.37","12.63","16.11","8.75","19.66","12.07","8.17","9.8","7.97",""
"1/5/2019 0:00","8.94","5.37","4.79","6.95","8.57","4.739182","16.172589","5.910577","7.640503","3.60069","19.5","15.4","12.9","15","11.909091","14.363636","16.363636","","5.8","7.2","21.55","15.26","30.89","14.55","17.9","12.11","9.64","10.34","5.44","6.53","11","6","10.861905","13.219731","24.2","22.8","16.6","16.3","1","19","13.844565","12.794254","11.206453","9.125092","11.885708","16.2","10.5","10.5","","17.3","23.4","13.9","10.1","","5.93","3.81","6.38","3.49","19.27","6.35","5.08","9.98","8.15",""
