Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
Kod stacji;DsLegPolarna;DsOsieczow21;DsWalbrzWyso;DsWrocNaGrob;DsZgorBohGet;KpBydBerling;KpChelmLunawMOB;KpGrudSienki;KpToruDziewu;KpWloclGniaz;KpZielBoryTu;LbBiaPodOrze;LbChelPolan;LbLubSliwins;LbZamoHrubie;LdLodzCzerni;LdLodzLegion;LdPioTrKraPr;LuGorzPilsud;LuWsKaziWiel;LuZarySzyman;LuZielKrotka;MpBochKonfed;MpKrakOsPias;MpNoSaczNadb;MpTarBitStud;MpTrzebOsZWM;MpZakopaSien;MzPlocKroJad;MzRadHallera;MzWarKondrat;MzWarWokalna;OpKKozBSmial;OpKluczMicki;OpNysaRodzie;OpOpoleOsAKr;PdBialWarsza;PdLomSikorsk;PkKrosKletow;PkRzeszRejta;PmGdaPowWiel;PmKosTargo12;SkBuskRokosz;SkKielTargow;SkKielWarsza;SkOstrOsSlonMOB;SkStaraZlota;SlBielSterni;SlCzestoZana;SlGliwicMewy;SlGodGliniki;SlKatoKossut;SlKatoPlebA4;SlTarnoLitew;SlZorySikor2;WmElbBazynsk;WmOlsPuszkin;WmOstrPilsud;WmPuszczaBor;WpKaliSawick;WpPleszAlMic;WpPoznDabrow;ZpKoszSpasow;ZpMyslZaBram;ZpSzczAndr01;ZpSzczec1Maj
Wskaźnik;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5;PM2.5
Czas uśredniania;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g;24g
Jednostka;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3;ug/m3
Kod stanowiska;DsLegPolarna-PM2.5-24g;DsOsieczow21-PM2.5-24g;DsWalbrzWyso-PM2.5-24g;DsWrocNaGrob-PM2.5-24g;DsZgorBohGet-PM2.5-24g;KpBydBerling-PM2.5-24g;KpChelmLunawMOB-PM2.5-24g;KpGrudSienki-PM2.5-24g;KpToruDziewu-PM2.5-24g;KpWloclGniaz-PM2.5-24g;KpZielBoryTu-PM2.5-24g;LbBiaPodOrze-PM2.5-24g;LbChelPolan-PM2.5-24g;LbLubSliwins-PM2.5-24g;LbZamoHrubie-PM2.5-24g;LdLodzCzerni-PM2.5-24g;LdLodzLegion-PM2.5-24g;LdPioTrKraPr-PM2.5-24g;LuGorzPilsud-PM2.5-24g;LuWsKaziWiel-PM2.5-24g;LuZarySzyman-PM2.5-24g;LuZielKrotka-PM2.5-24g;MpBochKonfed-PM2.5-24g;MpKrakOsPias-PM2.5-24g;MpNoSaczNadb-PM2.5-24g;MpTarBitStud-PM2.5-24g;MpTrzebOsZWM-PM2.5-24g;MpZakopaSien-PM2.5-24g;MzPlocKroJad-PM2.5-24g;MzRadHallera-PM2.5-24g;MzWarKondrat-PM2.5-24g;MzWarWokalna-PM2.5-24g;OpKKozBSmial-PM2.5-24g;OpKluczMicki-PM2.5-24g;OpNysaRodzie-PM2.5-24g;OpOpoleOsAKr-PM2.5-24g;PdBialWarsza-PM2.5-24g;PdLomSikorsk-PM2.5-24g;PkKrosKletow-PM2.5-24g;PkRzeszRejta-PM2.5-24g;PmGdaPowWiel-PM2.5-24g;PmKosTargo12-PM2.5-24g;SkBuskRokosz-PM2.5-24g;SkKielTargow-PM2.5-24g;SkKielWarsza-PM2.5-24g;SkOstrOsSlonMOB-PM2.5-24g;SkStaraZlota-PM2.5-24g;SlBielSterni-PM2.5-24g;SlCzestoZana-PM2.5-24g;SlGliwicMewy-PM2.5-24g;SlGodGliniki-PM2.5-24g;SlKatoKossut-PM2.5-24g;SlKatoPlebA4-PM2.5-24g;SlTarnoLitew-PM2.5-24g;SlZorySikor2-PM2.5-24g;WmElbBazynsk-PM2.5-24g;WmOlsPuszkin-PM2.5-24g;WmOstrPilsud-PM2.5-24g;WmPuszczaBor-PM2.5-24g;WpKaliSawick-PM2.5-24g;WpPleszAlMic-PM2.5-24g;WpPoznDabrow-PM2.5-24g;ZpKoszSpasow-PM2.5-24g;ZpMyslZaBram-PM2.5-24g;ZpSzczAndr01-PM2.5-24g;ZpSzczec1Maj-PM2.5-24g
01/01/2020 00:00;30.98;16.8;20.5;17.67;26.94;16.56803;;26.530622;19.405164;14.244211;9.322484;17.3;14;10.9;15.4;17.4;26.3;18.4;23.4;;15.1;19.6;24.04;21.62;37.03;23.9;21.33;29.2;17.59;15.23;14.15;15.24;22;19;27;34;;;22.8;8.98;13;18;15.112504;13.881142;14.282338;;;25.5;14.5;28.4;18.5;21.4;25.6;16.2;24.4;17.67;;12.7;8.69;19.32;30.14;17.73;14.7;16.33;18.2;11.78
02/01/2020 00:00;86.62;;24.64;58.95;23.57;25.704523;;33.5877;26.592335;41.186027;16.499225;43.3;28;21;32.3;39.5;45.4;74.5;28.3;;15.5;20.2;64.66;48.07;109.42;55.25;39.14;53.8;28.11;31.55;21.77;24.49;56;54;85;62;;;33.2;21.7;16;23;48.768602;74.560596;39.802171;;;27.8;66.1;;98.2;67.1;70.5;45.7;46.7;23.69;;24.76;14.08;47.88;49.56;47.72;11.64;31.39;16.76;13.59
03/01/2020 00:00;30.38;20.14;22.98;45.12;26.81;19.335258;;31.491035;28.243589;41.889864;17.607253;55.2;35.2;36.4;33.9;34.1;38;41.9;13;;15.7;14.2;56.58;74.44;81.31;27.96;46.14;74.5;32.64;33.73;31.93;34.11;27;39;66;46;36.496947;56.053588;15.6;14.8;13;16;72.249927;76.592949;58.440614;;47.56587;25.2;29.3;42;38.3;31.3;47.7;34.3;37.7;25.72;25.09;24.77;24.35;36.73;31.79;22.85;14.34;13.43;9.01;
04/01/2020 00:00;6.88;8.01;6;6.69;8.65;4.576195;;12.289663;6.27497;8.80586;5.360409;;16.1;13.6;16;10.7;14.7;12.5;9.3;;9;9.2;12.06;10.98;12.77;14.08;12.9;8.6;7.98;12.69;6.89;7.8;13;9;8;9;8.661153;15.324224;12.9;9.75;4;9;14.378528;10.559529;12.972491;12.728067;10.836364;10.3;8.2;9.7;14.6;14.6;15.9;12;17.4;7.12;6.14;5.11;6.81;8.88;13.05;8.72;3.99;5.62;3.97;
05/01/2020 00:00;13.05;13.11;22.12;12.41;15.04;11.087618;;16.831946;10.100052;21.359692;7.096853;;11.9;7.2;14.6;12.6;20.8;15.8;15.3;;9.7;11.4;18.11;11.44;11.55;10.26;23.02;9.8;9.79;10.15;6.89;7.8;17;19;22;13;6.364245;41.092632;10.1;5.04;7;19;11.651646;15.216661;11.399793;15.164918;10.700389;20.3;10.4;12.9;;22.3;23.2;10.2;29.2;12.57;8.81;9.05;4.94;21.14;25.04;16.48;5.26;12.52;6.13;
