"","n","val","val_no_trend","val_no_s2"
"1",1,58,27.8090526707772,-11.1059473292228
"2",2,22,-8.18671424041582,-45.6267142404158
"3",3,21,-9.18248115160889,-28.7099811516089
"4",4,10,-20.1782480628019,-30.9232480628019
"5",5,14,-16.174014973995,-28.051514973995
"6",6,36,5.83021811481194,-12.5197818851881
"7",7,65,34.8344512036189,4.17195120361888
"8",8,38,7.83868429242582,-25.0663157075742
"9",9,13,-17.1570826187672,-50.6345826187672
"10",10,8,-22.1528495299603,-40.209516196627
"11",11,13,-17.1486164411534,-48.8086164411534
"12",12,12,-18.1443833523464,-48.2143833523464
"13",13,14,-16.1401502635395,-38.3476502635395
"14",14,20,-10.1359171747325,-24.9134171747325
"15",15,18,-12.1316840859256,-40.4341840859256
"16",16,41,10.8725490028813,-17.4554509971187
"17",17,55,24.8767820916883,-6.41721790831171
"18",18,47,16.8810151804952,-21.8149848195048
"19",19,37,6.88524826930217,-36.4087517306978
"20",20,84,53.8894813581091,1.18548135810911
"21",21,52,21.8937144469161,-33.5042855530839
"22",22,53,22.897947535723,-34.986052464277
"23",23,59,28.9021806245299,-39.1538193754701
"24",24,37,6.90641371333687,-46.8155862866631
"25",25,26,-4.08935319785619,-34.1073531978562
"26",26,32,1.91487989095075,-38.9771201090493
"27",27,17,-13.0808870202423,-58.2648870202423
"28",28,21,-9.07665393143537,-48.1106539314354
"29",29,19,-11.0724208426284,-49.9584208426284
"30",30,22,-8.06818775382148,-25.1006877538215
"31",31,23,-7.06395466501454,-31.2139546650145
"32",32,34,3.9402784237924,-33.3857215762076
"33",33,49,18.9445115125993,-22.3954884874007
"34",34,37,6.94874460140628,-31.0462553985937
"35",35,34,3.95297769021322,-33.9370223097868
"36",36,46,15.9572107790202,-25.8802892209798
"37",37,40,9.9614438678271,-25.3635561321729
"38",38,38,7.96567695663404,-34.620323043366
"39",39,11,-19.030089954559,-75.237589954559
"40",40,12,-18.0258568657521,-57.3598568657521
"41",41,16,-14.0216237769451,-39.8066237769451
"42",42,29,-1.0173906881382,-33.4023906881382
"43",43,36,5.98684240066875,-29.3971575993313
"44",44,41,10.9910754894757,-33.5049245105243
"45",45,56,25.9953085782826,-22.9906914217174
"46",46,75,44.9995416670896,-7.81295833291043
"47",47,41,11.0037747558965,-29.6912252441035
"48",48,55,25.0080078447034,-24.4894921552966
"49",49,79,49.0122409335104,-13.9837590664896
"51",51,75,45.0207071111243,-2.89429288887573
"52",52,56,26.0249401999312,-11.6300598000688
"53",53,60,30.0291732887382,-1.97832671126185
"54",54,58,28.0334063775451,-2.58659362245491
"55",55,60,30.037639466352,-6.53736053364797
"56",56,42,12.041872555159,-21.173127444841
"57",57,58,28.0461056439659,-7.76139435603409
"58",58,79,49.0503387327729,0.892838732772859
"59",59,40,10.0545718215798,-31.4254281784202
"60",60,37,7.05880491038674,-28.8336950896133
"61",61,19,-10.9369620008063,-38.9769620008063
"62",62,23,-6.93272891199938,-40.1127289119994
"63",63,18,-11.9284958231924,-47.1009958231924
"64",64,26,-3.9242627343855,-40.1675960677188
"65",65,31,1.07997035442144,-38.0740296455785
"66",66,50,20.0842034432284,-23.8217965567716
"67",67,36,6.08843653203532,-27.6655634679647
"68",68,52,22.0926696208423,-11.3853303791577
"69",69,71,41.0969027096492,7.13690270964921
"70",70,28,-1.89886420154385,-33.3028642015439
"71",71,31,1.10536888726309,-26.4526311127369
"72",72,26,-3.89039802392997,-29.01439802393
"73",73,24,-5.88616493512303,-34.702164935123
"74",74,29,-0.881931846316089,-35.1459318463161
