time,windspeed_10m (m/s),winddirection_10m (°)
2021-01-01T00:00,0.72,56
2021-01-01T01:00,0.85,69
2021-01-01T02:00,0.10,360
2021-01-01T03:00,0.78,230
2021-01-01T04:00,0.76,203
2021-01-01T05:00,0.85,159
2021-01-01T06:00,0.92,131
2021-01-01T07:00,1.20,138
2021-01-01T08:00,1.71,159
2021-01-01T09:00,1.58,162
2021-01-01T10:00,1.55,165
2021-01-01T11:00,1.10,175
2021-01-01T12:00,0.81,210
2021-01-01T13:00,0.50,127
2021-01-01T14:00,0.92,77
2021-01-01T15:00,2.15,68
2021-01-01T16:00,2.51,95
2021-01-01T17:00,1.92,129
2021-01-01T18:00,1.21,156
2021-01-01T19:00,1.17,211
2021-01-01T20:00,1.49,228
2021-01-01T21:00,1.39,240
2021-01-01T22:00,1.22,235
2021-01-01T23:00,1.14,232
2021-01-02T00:00,0.76,203
2021-01-02T01:00,0.85,135
2021-01-02T02:00,1.17,110
2021-01-02T03:00,1.30,122
2021-01-02T04:00,1.06,131
2021-01-02T05:00,0.99,135
2021-01-02T06:00,0.99,135
2021-01-02T07:00,0.78,140
2021-01-02T08:00,0.81,120
2021-01-02T09:00,1.17,121
2021-01-02T10:00,0.85,111
2021-01-02T11:00,0.70,90
2021-01-02T12:00,1.00,96
2021-01-02T13:00,1.41,98
2021-01-02T14:00,1.68,107
2021-01-02T15:00,1.97,120
2021-01-02T16:00,1.98,135
2021-01-02T17:00,1.77,133
2021-01-02T18:00,1.70,140
2021-01-02T19:00,1.35,132
2021-01-02T20:00,1.06,139
2021-01-02T21:00,1.14,142
2021-01-02T22:00,0.86,144
2021-01-02T23:00,0.81,173
2021-01-03T00:00,1.30,148
2021-01-03T01:00,1.39,150
2021-01-03T02:00,1.44,146
2021-01-03T03:00,0.99,135
2021-01-03T04:00,1.30,122
2021-01-03T05:00,1.36,126
2021-01-03T06:00,1.70,118
2021-01-03T07:00,2.36,126
2021-01-03T08:00,2.83,135
2021-01-03T09:00,2.92,142
2021-01-03T10:00,2.69,138
2021-01-03T11:00,2.41,132
2021-01-03T12:00,1.77,137
2021-01-03T13:00,1.39,120
2021-01-03T14:00,2.01,117
2021-01-03T15:00,2.20,120
2021-01-03T16:00,1.72,126
2021-01-03T17:00,1.63,137
2021-01-03T18:00,1.56,140
2021-01-03T19:00,1.43,168
2021-01-03T20:00,1.61,210
2021-01-03T21:00,1.56,225
2021-01-03T22:00,1.36,216
2021-01-03T23:00,0.99,225
2021-01-04T00:00,0.72,214
2021-01-04T01:00,0.51,191
2021-01-04T02:00,0.14,225
2021-01-04T03:00,0.45,243
2021-01-04T04:00,0.42,225
2021-01-04T05:00,0.45,207
2021-01-04T06:00,0.50,233
2021-01-04T07:00,0.54,248
2021-01-04T08:00,0.64,219
2021-01-04T09:00,0.14,225
2021-01-04T10:00,0.76,67
2021-01-04T11:00,0.82,76
2021-01-04T12:00,1.10,95
2021-01-04T13:00,1.08,56
2021-01-04T14:00,1.50,37
2021-01-04T15:00,2.13,49
2021-01-04T16:00,2.08,55
2021-01-04T17:00,2.52,56
2021-01-04T18:00,2.51,67
2021-01-04T19:00,2.25,69
2021-01-04T20:00,2.47,69
2021-01-04T21:00,2.56,59
2021-01-04T22:00,3.08,54
2021-01-04T23:00,2.92,38
2021-01-05T00:00,2.47,21
2021-01-05T01:00,3.14,22
2021-01-05T02:00,3.61,19
2021-01-05T03:00,2.91,16
2021-01-05T04:00,2.70,358
2021-01-05T05:00,3.04,351
2021-01-05T06:00,2.80,358
2021-01-05T07:00,2.21,342
2021-01-05T08:00,2.06,321
2021-01-05T09:00,2.05,313
2021-01-05T10:00,2.42,294
2021-01-05T11:00,2.92,292
2021-01-05T12:00,3.26,288
2021-01-05T13:00,3.10,285
2021-01-05T14:00,3.00,270
2021-01-05T15:00,3.30,256
2021-01-05T16:00,3.48,252
2021-01-05T17:00,3.45,248
2021-01-05T18:00,3.72,246
2021-01-05T19:00,3.77,248
2021-01-05T20:00,3.55,248
2021-01-05T21:00,3.49,246
2021-01-05T22:00,3.08,257
2021-01-05T23:00,2.41,265
2021-01-06T00:00,1.75,239
2021-01-06T01:00,0.98,204
2021-01-06T02:00,1.02,191
2021-01-06T03:00,1.20,175
2021-01-06T04:00,1.17,149
2021-01-06T05:00,1.14,142
2021-01-06T06:00,1.20,132
2021-01-06T07:00,1.06,131
2021-01-06T08:00,1.12,117
2021-01-06T09:00,1.33,103
2021-01-06T10:00,1.80,109
2021-01-06T11:00,2.16,103
2021-01-06T12:00,1.90,87
2021-01-06T13:00,1.50,90
2021-01-06T14:00,0.86,144
2021-01-06T15:00,0.63,198
2021-01-06T16:00,1.02,191
2021-01-06T17:00,0.95,198
2021-01-06T18:00,1.17,200
2021-01-06T19:00,1.21,204
2021-01-06T20:00,0.98,204
2021-01-06T21:00,1.04,197
2021-01-06T22:00,1.00,174
2021-01-06T23:00,1.33,193
2021-01-07T00:00,1.30,203
2021-01-07T01:00,1.53,212
2021-01-07T02:00,1.58,235
2021-01-07T03:00,2.28,255
2021-01-07T04:00,2.82,264
2021-01-07T05:00,2.75,260
2021-01-07T06:00,2.69,255
2021-01-07T07:00,3.13,263
2021-01-07T08:00,4.34,278
2021-01-07T09:00,4.90,287
2021-01-07T10:00,4.39,282
2021-01-07T11:00,5.05,278
2021-01-07T12:00,5.60,271
2021-01-07T13:00,5.01,267
2021-01-07T14:00,3.95,261
2021-01-07T15:00,3.26,259
2021-01-07T16:00,3.18,257
2021-01-07T17:00,2.69,255
2021-01-07T18:00,2.50,254
2021-01-07T19:00,2.66,250
2021-01-07T20:00,2.69,248
2021-01-07T21:00,2.82,247
2021-01-07T22:00,3.67,259
2021-01-07T23:00,3.08,257
2021-01-08T00:00,2.66,250
2021-01-08T01:00,2.42,240
2021-01-08T02:00,2.30,236
2021-01-08T03:00,2.16,236
2021-01-08T04:00,2.14,233
2021-01-08T05:00,2.19,227
2021-01-08T06:00,1.98,225
2021-01-08T07:00,1.70,225
2021-01-08T08:00,2.28,218
2021-01-08T09:00,2.56,219
2021-01-08T10:00,3.18,224
2021-01-08T11:00,3.50,239
2021-01-08T12:00,3.76,253
2021-01-08T13:00,3.77,259
2021-01-08T14:00,2.47,249
2021-01-08T15:00,2.02,237
2021-01-08T16:00,2.14,233
2021-01-08T17:00,2.02,237
2021-01-08T18:00,2.24,243
2021-01-08T19:00,2.62,252
2021-01-08T20:00,2.89,256
2021-01-08T21:00,2.57,257
2021-01-08T22:00,3.13,263
2021-01-08T23:00,2.40,253
2021-01-09T00:00,2.34,250
2021-01-09T01:00,2.55,244
2021-01-09T02:00,2.64,245
2021-01-09T03:00,2.69,248
2021-01-09T04:00,2.60,247
2021-01-09T05:00,2.68,243
2021-01-09T06:00,2.77,244
2021-01-09T07:00,2.82,247
2021-01-09T08:00,3.20,250
2021-01-09T09:00,3.20,256
2021-01-09T10:00,4.22,256
2021-01-09T11:00,4.70,272
2021-01-09T12:00,4.37,281
2021-01-09T13:00,3.88,282
2021-01-09T14:00,2.93,278
2021-01-09T15:00,2.45,282
2021-01-09T16:00,2.28,285
2021-01-09T17:00,1.94,282
2021-01-09T18:00,1.80,270
2021-01-09T19:00,2.21,275
2021-01-09T20:00,2.33,280
2021-01-09T21:00,2.43,279
2021-01-09T22:00,2.53,279
2021-01-09T23:00,2.57,283
2021-01-10T00:00,2.26,283
2021-01-10T01:00,1.91,276
2021-01-10T02:00,1.80,267
2021-01-10T03:00,1.75,257
2021-01-10T04:00,1.66,245
2021-01-10T05:00,1.79,243
2021-01-10T06:00,1.75,239
2021-01-10T07:00,1.71,249
2021-01-10T08:00,1.73,260
2021-01-10T09:00,1.94,282
2021-01-10T10:00,1.60,274
2021-01-10T11:00,1.70,267
2021-01-10T12:00,1.81,264
2021-01-10T13:00,1.82,261
2021-01-10T14:00,1.08,292
2021-01-10T15:00,1.35,312
2021-01-10T16:00,1.04,343
2021-01-10T17:00,0.78,50
2021-01-10T18:00,0.78,140
2021-01-10T19:00,1.08,158
2021-01-10T20:00,1.32,171
2021-01-10T21:00,1.02,169
2021-01-10T22:00,1.08,158
2021-01-10T23:00,1.03,151
2021-01-11T00:00,1.21,156
2021-01-11T01:00,0.73,164
2021-01-11T02:00,0.73,164
2021-01-11T03:00,0.72,146
2021-01-11T04:00,0.92,131
2021-01-11T05:00,1.08,124
2021-01-11T06:00,0.99,135
2021-01-11T07:00,1.72,144
2021-01-11T08:00,1.89,148
2021-01-11T09:00,1.49,138
2021-01-11T10:00,1.39,159
2021-01-11T11:00,0.94,148
2021-01-11T12:00,0.72,146
2021-01-11T13:00,0.36,124
2021-01-11T14:00,0.54,68
2021-01-11T15:00,1.24,104
2021-01-11T16:00,1.92,129
2021-01-11T17:00,2.26,135
2021-01-11T18:00,2.36,144
2021-01-11T19:00,1.92,152
2021-01-11T20:00,2.06,157
2021-01-11T21:00,2.12,172
2021-01-11T22:00,1.90,180
2021-01-11T23:00,1.80,199
2021-01-12T00:00,2.06,209
2021-01-12T01:00,1.89,212
2021-01-12T02:00,2.28,218
2021-01-12T03:00,2.42,218
2021-01-12T04:00,2.42,218
2021-01-12T05:00,2.52,214
2021-01-12T06:00,2.59,208
2021-01-12T07:00,2.46,207
2021-01-12T08:00,3.09,209
2021-01-12T09:00,3.12,220
2021-01-12T10:00,3.33,213
2021-01-12T11:00,3.89,209
2021-01-12T12:00,3.86,211
2021-01-12T13:00,3.94,216
2021-01-12T14:00,3.82,225
2021-01-12T15:00,4.02,235
2021-01-12T16:00,4.47,236
2021-01-12T17:00,4.80,234
2021-01-12T18:00,4.84,232
2021-01-12T19:00,4.75,229
2021-01-12T20:00,4.61,229
2021-01-12T21:00,4.61,229
2021-01-12T22:00,4.14,233
2021-01-12T23:00,4.83,243
2021-01-13T00:00,5.85,253
2021-01-13T01:00,6.28,261
2021-01-13T02:00,6.72,274
2021-01-13T03:00,6.55,282
2021-01-13T04:00,5.66,278
2021-01-13T05:00,5.73,276
2021-01-13T06:00,6.18,279
2021-01-13T07:00,6.22,281
2021-01-13T08:00,5.47,279
2021-01-13T09:00,6.57,283
2021-01-13T10:00,5.61,267
2021-01-13T11:00,5.23,263
2021-01-13T12:00,5.41,266
2021-01-13T13:00,5.30,269
2021-01-13T14:00,5.11,267
2021-01-13T15:00,5.30,268
2021-01-13T16:00,5.20,269
2021-01-13T17:00,4.59,259
2021-01-13T18:00,4.40,253
2021-01-13T19:00,4.43,252
2021-01-13T20:00,4.46,250
2021-01-13T21:00,4.35,247
2021-01-13T22:00,4.44,256
2021-01-13T23:00,4.24,251
2021-01-14T00:00,3.76,241
2021-01-14T01:00,2.97,237
